tunecache	0.7.2	0.7.2	cpu_arch=x86_64,gpu_arch=sm_35,cuda_version=7000	# Last updated Fri Jan 29 22:21:00 2016

volume	name	aux	block.x	block.y	block.z	grid.x	grid.y	grid.z	shared_bytes	comment
24x48x24x4	N4quda23TwistedCloverDslashCudaI6float4S1_S1_EE	type=exterior_z,Dslash,comm=0011,reconstruct=8	192	1	1	576	1	1	6145	# 21.46 Gflop/s, 24.21 GB/s, tuned Mon Dec 28 19:40:49 2015
24x48x24x4	N4quda23TwistedCloverDslashCudaI6float4S1_S1_EE	type=exterior_z,Dslash,comm=0011,reconstruct=8,dagger	480	1	1	231	1	1	6145	# 21.10 Gflop/s, 23.81 GB/s, tuned Mon Dec 28 19:40:49 2015
24x48x24x4	N4quda23TwistedCloverDslashCudaI6float4S1_S1_EE	type=exterior_z,DslashCloverTwist,comm=0011,reconstruct=8,Xpay	192	1	1	576	1	1	6145	# 35.27 Gflop/s, 47.02 GB/s, tuned Mon Dec 28 19:40:49 2015
24x48x24x4	N4quda23TwistedCloverDslashCudaI6float4S1_S1_EE	type=exterior_z,DslashCloverTwist,comm=0011,reconstruct=8,Xpay,dagger	224	1	1	494	1	1	7022	# 35.05 Gflop/s, 46.74 GB/s, tuned Mon Dec 28 19:40:49 2015
24x48x24x4	N4quda23TwistedCloverDslashCudaI6float4S1_S1_EE	type=interior,Dslash,comm=0011,ghost=0011,reconstruct=8	128	1	1	864	1	1	0	# 330.76 Gflop/s, 224.59 GB/s, tuned Mon Dec 28 19:40:49 2015
24x48x24x4	N4quda23TwistedCloverDslashCudaI6float4S1_S1_EE	type=interior,Dslash,comm=0011,ghost=0011,reconstruct=8,dagger	128	1	1	864	1	1	0	# 327.84 Gflop/s, 222.61 GB/s, tuned Mon Dec 28 19:40:49 2015
24x48x24x4	N4quda23TwistedCloverDslashCudaI6float4S1_S1_EE	type=interior,DslashCloverTwist,comm=0011,ghost=0011,reconstruct=8,Xpay	160	1	1	692	1	1	0	# 370.62 Gflop/s, 237.34 GB/s, tuned Mon Dec 28 19:40:49 2015
24x48x24x4	N4quda23TwistedCloverDslashCudaI6float4S1_S1_EE	type=interior,DslashCloverTwist,comm=0011,ghost=0011,reconstruct=8,Xpay,dagger	320	1	1	346	1	1	6145	# 371.84 Gflop/s, 238.12 GB/s, tuned Mon Dec 28 19:40:49 2015
24x48x24x4	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=exterior_t,Dslash,comm=0011,reconstruct=8	64	1	1	1728	1	1	0	# 15.44 Gflop/s, 34.83 GB/s, tuned Mon Dec 28 19:40:44 2015
24x48x24x4	N4quda23TwistedCloverDslashCudaI7double2S1_S1_EE	type=exterior_t,Dslash,comm=0011,reconstruct=8,dagger	128	1	1	864	1	1	16385	# 15.34 Gflop/s, 34.61 GB/s, tuned Mon Dec 28 19:40:39 2015
